Stock Name          Previous Close      Market Open         Daily High          Daily Low           
AACG                1.01                1.0                 1.02                0.99                
AADI                2.22                2.23                2.4                 2.23                
AADR                67.36               67.45               67.45               67.45               
AAL                 14.46               14.47               14.575              14.175              
AAME                1.59                1.57                1.63                1.53                
AAOI                34.07               36.99               38.86               34.86               
AAON                132.05              132.54              137.2               132.54              
AAPB                28.55               28.1                28.84               27.8105             
AAPD                16.78               16.81               17.0279             16.71               
AAPL                229.0               228.88              230.15              225.7103            
AAPU                36.11               36.11               36.4987             35.1243             
AAXJ                74.3                74.02               74.2                73.79               
ABAT                0.7697              0.7697              0.77                0.73                
ABCL                2.67                2.66                2.77                2.61                
ABCS                N/A                 N/A                 N/A                 N/A                 
ABEO                5.75                5.79                5.987               5.62                
ABL                 8.86                8.85                8.93                8.66                
ABLLL               26.25               26.26               26.5                26.26               
ABLLW               1.46                1.4                 1.41                1.35                
ABLV                0.86                0.86                0.89                0.8164              
ABLVW               0.019               0.0172              0.019               0.019               
ABNB                135.25              134.18              134.95              132.58              
ABOS                2.37                2.4                 2.4                 2.26                
ABP                 3.4                 3.34                3.67                3.09                
ABPWW               0.08                0.0792              0.08                0.08                
ABSI                2.68                2.66                2.695               2.52                
ABTS                0.618               0.63                0.65                0.625               
ABUS                3.44                3.44                3.56                3.428               
ABVC                0.5675              0.585               0.587               0.53                
ABVE                0.668               0.688               0.69                0.582               
ABVEW               0.0193              0.0151              0.02                0.0151              
ABVX                8.86                8.8                 8.8                 8.5089              
ACAD                16.27               16.04               16.42               15.66               
ACB                 4.24                4.26                4.41                4.195               
ACCD                3.56                3.57                3.725               3.515               
ACDC                7.14                7.26                7.78                7.26                
ACET                0.9671              0.9667              0.9802              0.9116              
ACGL                95.71               95.66               98.78               95.515              
ACGLN               19.77               19.88               20.1198             19.83               
ACGLO               22.56               22.6                22.77               22.56               
ACHC                39.1                38.78               38.945              37.9                
ACHL                1.07                1.0505              1.08                1.05                
ACHV                4.305               4.25                4.37                4.19                
ACIC                12.99               13.16               13.3228             12.9746             
ACIU                3.24                3.23                3.3525              3.16                
ACIW                54.73               55.17               55.83               54.88               
ACLS                71.0                71.85               73.92               70.8                
ACLX                87.22               87.91               89.37               85.875              
ACMR                18.68               18.74               19.61               18.59               
ACNB                47.17               47.5                48.3952             46.93               
ACNT                10.49               10.41               10.41               10.25               
ACOG                5.8                 5.85                5.85                5.7                 
ACON                0.179               0.175               0.179               0.171               
ACONW               0.033               0.0305              0.0305              0.0305              
ACRS                3.96                4.25                4.55                4.07                
ACRV                6.5                 6.5                 6.68                6.43                
ACT                 33.86               34.05               34.44               33.8516             
ACTG                4.45                4.46                4.5391              4.46                
ACTU                8.67                8.862               9.0                 8.7301              
ACVA                21.37               21.51               22.22               21.1201             
ACWI                119.56              119.95              120.265             119.105             
ACWX                53.61               53.565              53.76               53.37               
ACXP                1.39                1.47                1.47                1.26                
ADAG                2.09                2.15                2.37                2.15                
ADAP                0.6647              0.66                0.6825              0.6309              
ADBE                499.5               502.1               508.57              493.1442            
ADD                 5.68                5.75                6.49                5.4                 
ADEA                11.52               11.59               12.16               11.42               
ADGM                2.0                 1.95                2.3                 1.9                 
ADI                 211.01              212.29              215.01              210.0975            
